Col 472 has blocks number: 1, get by thread 0.
Col 473 has blocks number: 65, get by thread 0.
Col 475 has blocks number: 1, get by thread 0.
Col 476 has blocks number: 6, get by thread 0.
Col 478 has blocks number: 1, get by thread 0.
Col 480 has blocks number: 1, get by thread 0.
Col 482 has blocks number: 1, get by thread 0.
Col 483 has blocks number: 1, get by thread 0.
Col 484 has blocks number: 1, get by thread 0.
Col 488 has blocks number: 1, get by thread 0.
Col 489 has blocks number: 2, get by thread 0.
Col 490 has blocks number: 4, get by thread 0.
Col 491 has blocks number: 4, get by thread 0.
Col 492 has blocks number: 2, get by thread 0.
Col 493 has blocks number: 2, get by thread 0.
Col 494 has blocks number: 2, get by thread 0.
Col 495 has blocks number: 1, get by thread 0.
Col 496 has blocks number: 4, get by thread 0.
Col 497 has blocks number: 3, get by thread 0.
Col 498 has blocks number: 2, get by thread 0.
Col 499 has blocks number: 89905, get by thread 0.

Col 499 has blocks number: 28755819, get by thread 0.
Find block at col 499: 0, 9, 53, 103.

